train,test
1.612602949142456,0.19999999999999996
0.8524078607559205,0.8
0.7460633516311646,0.19999999999999996
0.7115028262138366,0.19999999999999996
0.6976723670959473,0.4
0.6807533621788024,0.19999999999999996
0.6389060735702514,0.19999999999999996
0.6392316222190857,0.19999999999999996
0.6243538856506348,0.30000000000000004
0.6187828660011292,0.35
0.6140958786010742,0.30000000000000004
0.6103376507759094,0.15000000000000002
0.6052490413188935,0.15000000000000002
0.5889241099357605,0.25
0.5821324586868286,0.25
0.5784466028213501,0.19999999999999996
0.5605000853538513,0.25
0.5687664270401,0.30000000000000004
0.5501181364059449,0.15000000000000002
0.5425576269626617,0.25
0.56971675157547,0.25
0.5161787927150726,0.30000000000000004
0.5326373100280761,0.25
0.5281412780284882,0.25
0.50606449842453,0.30000000000000004
0.4947084605693817,0.25
0.511142373085022,0.25
0.5113512933254242,0.25
0.4767147898674011,0.25
0.5113088250160217,0.30000000000000004
0.49875816106796267,0.25
0.4764364182949066,0.25
0.46608070135116575,0.25
0.47246259450912476,0.25
0.45372199416160586,0.25
0.4498061776161194,0.25
0.44475058913230897,0.25
0.47387385964393614,0.25
0.47365261912345885,0.25
0.45755245685577395,0.25
0.47246651649475097,0.25
0.5115402817726136,0.25
0.43353659510612486,0.19999999999999996
0.45523881316185,0.30000000000000004
0.4351588308811188,0.25
0.4085885524749756,0.25
0.45736660361289977,0.19999999999999996
0.41390265226364137,0.30000000000000004
0.40420815348625183,0.25
0.38931295871734617,0.25
0.3854764401912689,0.25
0.3919461190700531,0.25
0.38012791275978086,0.25
0.36832796335220336,0.25
0.35846338272094724,0.25
0.3549455314874649,0.25
0.35063241720199584,0.25
0.34374918341636657,0.30000000000000004
0.3548650026321411,0.25
0.3729694128036499,0.25
0.33969025015830995,0.19999999999999996
0.3278115212917328,0.25
0.3216146320104599,0.19999999999999996
0.31614704728126525,0.30000000000000004
0.3345121920108795,0.19999999999999996
0.3436483025550842,0.15000000000000002
0.3090065836906433,0.30000000000000004
0.3029627799987793,0.25
0.28499050736427306,0.09999999999999998
0.29863351583480835,0.19999999999999996
0.27698899805545807,0.19999999999999996
0.28186229765415194,0.35
0.3225101351737976,0.30000000000000004
0.3097295045852661,0.050000000000000044
0.313661253452301,0.55
0.535409152507782,0.25
0.4923033595085144,0.19999999999999996
0.38556164503097534,0.25
0.3537265807390213,0.35
0.35222518146038057,0.15000000000000002
0.28552514910697935,0.35
0.299836727976799,0.0
