7712804,295200,1945680,2509804
7712804,285104,1945712,2509844
7712804,287544,1945796,2509824
7712804,278644,1950436,2512096
7712804,277108,1950428,2512224
7712804,274368,1950636,2513736
7712804,272612,1950668,2513488
7712804,272772,1950664,2513488
7712804,278000,1949812,2513476
7712804,276976,1949808,2513476
7712804,278720,1949844,2513476
7712804,280116,1949812,2513480
7712804,268076,1949808,2513496
7712804,236460,1949836,2513528
7712804,225672,1949844,2513520
7712804,203080,1949840,2513524
7712804,190156,1949824,2513524
7712804,177680,1949848,2514872
7712804,174692,1949852,2514880
7712804,164056,1949852,2514892
7712804,151204,1949820,2514892
7712804,144580,1949828,2514840
7712804,129948,1949828,2514848
7712804,117424,1949996,2514856
7712804,112964,1959648,2514884
7712804,99916,1959676,2514884
7712804,127296,1942420,2483504
7712804,121092,1942364,2483220
7712804,110380,1942308,2483272
7712804,94488,1942424,2483416
7712804,97884,1956340,2468008
7712804,85748,1956344,2468000
7712804,95540,1962120,2450784
7712804,102528,1976288,2436684
7712804,97292,1976280,2436688
7712804,85528,1976296,2436692
7712804,90344,1978008,2425388
7712804,93372,1977956,2407084
7712804,98468,1978060,2394400
7712804,86664,1978124,2394492
7712804,99872,1968844,2384472
7712804,99096,1968836,2384480
7712804,92764,1968832,2384488
7712804,108400,1972692,2363136
7712804,95052,1972708,2363140
7712804,101532,1965748,2355480
